Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_100,Has_Critic_Score,Has_User_Score,Platform_Launch_Year,Generation,Franchise,Is_Sequel,Years_After_Launch,Life_Cycle,Calculated_Global_Sales
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,78.0,1,1,2006,7.0,Just Dance,1,5,Growth,10.120000000000001
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,72.0,1,1,2011,8.0,New Super Mario Bros.,1,1,Launch,9.900000000000002
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,Unknown,Unknown,,0,0,1996,5.0,Mario Kart,0,0,Launch,9.870000000000001
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,79.0,1,1,2005,7.0,Halo,0,5,Growth,9.86
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,92.0,1,1,1994,5.0,Final Fantasy,1,3,Growth,9.719999999999999
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,70.0,1,1,2005,7.0,Halo,1,7,Mature,9.709999999999999
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,90.0,1,1,1994,5.0,Gran Turismo,1,5,Growth,9.49
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,73.0,1,1,2006,7.0,Just Dance,1,4,Growth,9.44
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,26.0,1,1,2006,7.0,Call of Duty,0,7,Mature,9.36
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,84.0,1,1,2005,7.0,Call of Duty,0,2,Launch,9.32
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,Unknown,Unknown,,0,0,1990,4.0,Donkey Kong Country,0,4,Growth,9.3
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,Unknown,Unknown,,0,0,2005,7.0,Minecraft,0,8,Mature,9.18
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,87.0,1,1,2011,8.0,Animal Crossing,0,1,Launch,9.17
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,78.0,1,1,2004,0.0,Mario Party DS,0,3,Growth,8.91
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,84.0,1,1,2005,7.0,The Elder Scrolls,0,6,Mature,8.79
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,Unknown,Unknown,,0,0,1990,4.0,Super Mario Kart,0,2,Launch,8.77
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,43.0,1,1,2013,8.0,FIFA,0,2,Launch,8.58
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,82.0,1,1,2001,6.0,Halo,1,3,Growth,8.48
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,74.0,1,1,2006,7.0,Wii Party,0,4,Growth,8.38
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,63.0,1,1,2006,7.0,Mario Party,1,1,Launch,8.26
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,66.0,1,1,2006,7.0,FIFA Soccer,0,6,Mature,8.17
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,Unknown,Unknown,,0,0,1996,5.0,GoldenEye,0,1,Launch,8.09
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,Unknown,Unknown,,0,0,2004,0.0,Pokemon Black 2/Pokemon White,1,8,Mature,8.06
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,87.0,1,1,2000,6.0,Final Fantasy,1,1,Launch,8.040000000000001
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,76.0,1,1,1981,0.0,The Sims,1,28,Late,8.01
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,Unknown,Unknown,,0,0,2006,7.0,Mario & Sonic at the Olympic Games,0,1,Launch,8.0
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,Unknown,Unknown,,0,0,2013,8.0,Star Wars Battlefront (2015),0,2,Launch,7.98
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,86.0,1,1,1994,5.0,Final Fantasy,1,5,Growth,7.86
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,Unknown,Unknown,,0,0,1977,2.0,Pac-Man,0,5,Growth,7.8100000000000005
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,85.0,1,1,2004,0.0,Pokémon Platinum Version,0,4,Growth,7.71
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,76.0,1,1,2004,7.0,Grand Theft Auto,0,1,Launch,7.68
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,57.0,1,1,2013,8.0,Call of Duty,0,1,Launch,7.66
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,Unknown,Unknown,,0,0,1996,5.0,The Legend of Zelda,0,2,Launch,7.6
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,50.0,1,1,2013,8.0,FIFA,0,3,Growth,7.6000000000000005
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,Unknown,Unknown,,0,0,1994,5.0,Crash Bandicoot,0,3,Growth,7.569999999999999
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,Unknown,Unknown,,0,0,2011,8.0,Super Smash Bros. for Wii U and 3DS,0,3,Growth,7.550000000000001
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,91.0,1,1,2006,7.0,Super Mario Galaxy,1,4,Growth,7.510000000000001
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,Unknown,Unknown,,0,0,1983,3.0,Super Mario Bros.,1,5,Growth,7.46
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,Unknown,Unknown,,0,0,2013,8.0,Call of Duty,1,2,Launch,7.389999999999999
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,76.0,1,1,2005,7.0,Call of Duty,0,3,Growth,7.379999999999999
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,74.0,1,1,2005,7.0,Battlefield,1,6,Mature,7.32
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,86.0,1,1,2000,6.0,Need for Speed Underground,0,3,Growth,7.199999999999999
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,80.0,1,1,2006,7.0,Just Dance,0,3,Growth,7.200000000000001
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,75.0,1,1,2006,7.0,Battlefield,1,5,Growth,7.17
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,65.0,1,1,2013,8.0,Fallout,1,2,Launch,7.17
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,91.0,1,1,1994,5.0,Tekken,1,4,Growth,7.180000000000001
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,T,90.0,1,1,2006,7.0,The Legend of Zelda,0,0,Launch,7.16
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,Unknown,Unknown,,0,0,2011,8.0,Pokemon Sun/Moon,0,5,Growth,7.14
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,89.0,1,1,1994,5.0,Crash Bandicoot,0,4,Growth,7.13
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,91.0,1,1,2012,8.0,Mario Kart,1,2,Launch,7.09
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,91.0,1,1,2001,6.0,Super Smash Bros. Melee,0,0,Launch,7.06
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,Unknown,Unknown,,0,0,2001,6.0,Mario Kart,0,2,Launch,6.950000000000001
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,86.0,1,1,2000,6.0,Need for Speed Underground,1,4,Growth,6.9
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T,85.0,1,1,2000,6.0,Medal of Honor,0,2,Launch,6.84
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,Unknown,Unknown,,0,0,1994,5.0,Crash Bandicoot,0,2,Launch,6.819999999999999
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,73.0,1,1,2006,7.0,Just Dance,1,6,Mature,6.76
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,77.0,1,1,2005,7.0,Gears of War,1,3,Growth,6.75
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,83.0,1,1,2006,7.0,Uncharted,0,5,Growth,6.74
Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,,,,,"Pipeworks Software, Inc.",E,,0,0,2006,7.0,Zumba Fitness,0,4,Growth,6.7
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,84.0,1,1,2006,7.0,Call of Duty,0,1,Launch,6.68
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,88.0,1,1,2006,7.0,Uncharted,0,3,Growth,6.66
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,Unknown,Unknown,,0,0,2006,7.0,FIFA,0,5,Growth,6.64
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E,74.0,1,1,2004,0.0,Big Brain Academy,0,1,Launch,6.63
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,Unknown,Unknown,,0,0,1983,3.0,The Legend of Zelda,0,3,Growth,6.499999999999999
